id,telegram,type,date,author,caption,keywords,filename
1843,https://t.me/jotchuacontent/1843,photo,2026-09-14 01:07:36,D Boi,Jotchua peeks from a window beside Bart Simpson,"simpsons, window, peeking",1843_file_000000007f54822f983ad995e0b85d48.png
1842,https://t.me/jotchuacontent/1842,photo,2026-09-14 01:07:35,D Boi,Fairy Jotchua in a pink tutu holds a wand,"fairy, wand, pink",1842_file_000000005670822fbfe8fedf1b6e8616.png
1841,https://t.me/jotchuacontent/1841,photo,2026-09-14 01:07:33,D Boi,Giant Jotchua sits in a Rio bay at sunset,"giant, brazil, sunset",1841_file_000000000f58822f8ab603f203113b08.png
1840,https://t.me/jotchuacontent/1840,photo,2026-09-14 01:07:31,D Boi,Jotchua in a blue tracksuit dances with headphones,"dancing, headphones, tracksuit",1840_file_00000000367881f58c4eda0246498c71.png
1839,https://t.me/jotchuacontent/1839,photo,2026-09-14 01:07:30,D Boi,Jotchua in a yellow suit points at breaking news,"suit, sunglasses, news",1839_file_00000000cfbc81f5931c198d57355884.png
1838,https://t.me/jotchuacontent/1838,photo,2026-09-14 01:07:29,D Boi,Jotchua smokes while walking a crosswalk with groceries,"smoking, walking, headphones",1838_file_00000000c81481f5aa90f0393dc22649.png
1837,https://t.me/jotchuacontent/1837,photo,2026-09-14 01:07:28,D Boi,Tiny Jotchua sits inside a striped mind corridor,"trippy, brain, sitting",1837_file_0000000040fc81f5be621cbec72d95f6.png
1836,https://t.me/jotchuacontent/1836,photo,2026-09-14 01:07:28,D Boi,Jotchua in a starry cloak holds a glowing staff,"wizard, staff, sunset",1836_file_000000008650822fa5600b767c20fb5b.png
1835,https://t.me/jotchuacontent/1835,photo,2026-09-14 01:07:27,D Boi,Jotchua in a pink shirt sits in a job interview,"interview, office, shirt",1835_file_000000009a9481f598741e9b12d5f801.png
1834,https://t.me/jotchuacontent/1834,photo,2026-09-14 01:07:25,D Boi,Jotchua points at a fur suit to join the cult,"cult, pointing, costume",1834_file_00000000a1e081f5b5bf5a01f1701da9.png
1833,https://t.me/jotchuacontent/1833,photo,2026-09-14 01:07:24,D Boi,Jotchua in a beige hoodie stares from a corner,"hoodie, staring, confused",1833_file_00000000f84081f59ee0467b989d320f.png
1832,https://t.me/jotchuacontent/1832,photo,2026-09-14 01:07:22,D Boi,Jotchua meditates in crystals under a galaxy,"meditating, crystal, space",1832_file_00000000d0e081f5a45fbaf65b0669ec.png
1831,https://t.me/jotchuacontent/1831,photo,2026-09-14 01:07:21,D Boi,Jotchua's face swirls in a checkerboard vortex,"trippy, closeup, staring",1831_file_00000000301481f587aeb7149fe46619.png
1830,https://t.me/jotchuacontent/1830,photo,2026-09-14 01:07:20,D Boi,Wizard Jotchua stands on a UFO under storm clouds,"wizard, ufo, storm",1830_file_00000000a8b081f58a3e5b5f90f654cd~2.jpg
1829,https://t.me/jotchuacontent/1829,photo,2026-09-14 01:07:19,D Boi,Wizard Jotchua on a UFO says beam em up,"wizard, ufo, space",1829_file_00000000a6b081f5842a341a0be7e172.png
1828,https://t.me/jotchuacontent/1828,photo,2026-09-14 01:02:47,D Boi,Jotchua as a Grateful Dead dancing bear,"grateful-dead, dancing, rainbow",photo_1828_0.jpg
1827,https://t.me/jotchuacontent/1827,photo,2026-09-14 01:02:42,D Boi,Skeleton Jotchua sips coffee and ain't dead yet,"skeleton, coffee, drinking",photo_1827_0.jpg
1826,https://t.me/jotchuacontent/1826,photo,2026-09-14 01:02:37,D Boi,Jotchua peeks from clouds asking to go higher,"clouds, sky, flying",photo_1826_0.jpg
1825,https://t.me/jotchuacontent/1825,photo,2026-09-14 01:02:32,D Boi,Jotchua flies a kite over a tropical beach,"beach, kite, flying",photo_1825_0.jpg
1824,https://t.me/jotchuacontent/1824,photo,2026-09-14 01:02:24,D Boi,Jotchua sits on a neon Rolling Stones tongue,"rolling-stones, tongue, rock",photo_1824_0.jpg
1822,https://t.me/jotchuacontent/1822,photo,2026-09-13 02:56:48,Oowee,Jotchua in a chef hat holds a rolling pin,"chef, cooking, baking",photo_1822_0.jpg
1821,https://t.me/jotchuacontent/1821,photo,2026-09-12 22:16:38,Titus,Jotchua stands before a yellow splat and Pikachu graffiti,"pikachu, pokemon, lightning",photo_1821_0.jpg
1820,https://t.me/jotchuacontent/1820,photo,2026-09-12 16:58:50,Oowee,Jotchua's face sits on a pink mochi,"mochi, pink, dessert",photo_1820_0.jpg
1819,https://t.me/jotchuacontent/1819,photo,2026-09-12 16:55:55,Oowee,Jotchua's face fills a cracked egg yolk,"egg, breakfast, food",photo_1819_0.jpg
1818,https://t.me/jotchuacontent/1818,photo,2026-09-12 16:46:55,Oowee,Jotchua in SpongeBob pajamas holds a phone in bed,"spongebob, pajamas, phone",photo_1818_0.jpg
1817,https://t.me/jotchuacontent/1817,photo,2026-09-12 16:42:07,Oowee,Jotchua in a black robe texts about his lore,"robe, texting, wizard",photo_1817_0.jpg
1816,https://t.me/jotchuacontent/1816,photo,2026-09-12 16:38:21,Oowee,Jotchua as Squidward works the Krusty Krab register,"spongebob, squidward, cashier",photo_1816_0.jpg
1815,https://t.me/jotchuacontent/1815,photo,2026-09-12 16:34:51,Oowee,Jotchua in a tie reports news in Bikini Bottom,"spongebob, news, reporter",photo_1815_0.jpg
1814,https://t.me/jotchuacontent/1814,photo,2026-09-12 11:16:46,Oowee,Jotchua wears a Roblox cap in a blocky room,"roblox, cap, gaming",photo_1814_0.jpg
1813,https://t.me/jotchuacontent/1813,photo,2026-09-12 11:13:07,Oowee,Jotchua presses his paws on a window from outside,"window, peeking, sad",photo_1813_0.jpg
1812,https://t.me/jotchuacontent/1812,photo,2026-09-12 10:53:37,Oowee,Jotchua in a red sweater clutches cash in bed,"money, rich, bed",photo_1812_0.jpg
1811,https://t.me/jotchuacontent/1811,photo,2026-09-12 10:49:13,Oowee,Jotchua looks over city lights at night,"night, city, looking",photo_1811_0.jpg
1810,https://t.me/jotchuacontent/1810,photo,2026-09-12 10:47:42,Oowee,Jotchua in a party hat sits in a Shin-chan basket,"party, hat, shin-chan",photo_1810_0.jpg
1809,https://t.me/jotchuacontent/1809,photo,2026-09-12 10:43:27,Oowee,Jotchua wrapped in a brown blanket holds cocoa,"blanket, cozy, coffee",photo_1809_0.jpg
1808,https://t.me/jotchuacontent/1808,photo,2026-09-12 07:19:11,Oowee,Jotchua holds a fistful of crayons with one in his mouth,"crayons, coloring, messy",photo_1808_0.jpg
1806,https://t.me/jotchuacontent/1806,video,2026-09-11 02:25:52,Titus,Blurry Jotchua snaps into a close-up stare,"staring, closeup, blurry",1806_jotchua-stare.mp4
1803,https://t.me/jotchuacontent/1803,photo,2026-09-09 01:36:56,Titus,A giant hand holds tiny Jotchua over a Genshin town,"genshin, tiny, giant",photo_1803_0.jpg
1802,https://t.me/jotchuacontent/1802,photo,2026-09-08 04:25:28,Oowee,Jotchua sits as a hand lights his cigarette,"smoking, cigarette, lighter",photo_1802_0.jpg
1801,https://t.me/jotchuacontent/1801,photo,2026-09-07 02:23:47,Oowee,Jotchua in a flight helmet beside a jet at sunset,"pilot, helmet, sunset",photo_1801_0.jpg
1800,https://t.me/jotchuacontent/1800,photo,2026-09-06 17:48:54,Oowee,A seal in a brown ushanka stands before missiles,"seal, ushanka, missiles",photo_1800_0.jpg
1799,https://t.me/jotchuacontent/1799,photo,2026-09-06 17:31:37,Oowee,Frosty Jotchua stares from a snowy trench,"snow, trench, staring",photo_1799_0.jpg
1798,https://t.me/jotchuacontent/1798,photo,2026-09-06 17:23:14,Oowee,Jotchua peeks from an orange pumpkin bucket,"halloween, pumpkin, bucket",photo_1798_0.jpg
1797,https://t.me/jotchuacontent/1797,photo,2026-09-06 17:17:07,Oowee,Jotchua in a black ushanka with a red star,"ushanka, soviet, snow",photo_1797_0.jpg
1796,https://t.me/jotchuacontent/1796,photo,2026-09-06 17:12:06,Oowee,Jotchua poses in front of St. Basil's Cathedral,"moscow, cathedral, night",photo_1796_0.jpg
1795,https://t.me/jotchuacontent/1795,photo,2026-09-06 17:10:10,Oowee,Jotchua takes a night selfie under an orange moon,"selfie, moon, night",photo_1795_0.jpg
1794,https://t.me/jotchuacontent/1794,photo,2026-09-06 17:08:02,Oowee,Jotchua flips off from a McDonald's drive-thru,"mcdonalds, middle-finger, driving",photo_1794_0.jpg
1793,https://t.me/jotchuacontent/1793,photo,2026-09-06 16:58:57,Oowee,Pilot Jotchua in a leather cap and green goggles,"pilot, goggles, aviator",photo_1793_0.jpg
1792,https://t.me/jotchuacontent/1792,photo,2026-09-06 09:35:54,Oowee,Jotchua stares from a look at this dog flyer,"poster, lost, staring",photo_1792_0.jpg
1791,https://t.me/jotchuacontent/1791,photo,2026-09-06 09:21:38,Oowee,Jotchua poses in front of the Eiffel Tower,"eiffel, paris, travel",photo_1791_0.jpg
1790,https://t.me/jotchuacontent/1790,photo,2026-09-06 09:01:48,Oowee,Three Jotchuas ride in a car at night,"driving, car, night",photo_1790_0.jpg
1789,https://t.me/jotchuacontent/1789,photo,2026-09-06 08:59:35,Oowee,Jotchua rides a skateboard against a purple sky,"skateboard, skating, riding",photo_1789_0.jpg
1788,https://t.me/jotchuacontent/1788,photo,2026-09-06 08:58:18,Oowee,Jotchua plays an electric guitar on a green couch,"guitar, music, rock",photo_1788_0.jpg
1787,https://t.me/jotchuacontent/1787,photo,2026-09-05 06:38:38,Oowee,Kenny Jotchua in an orange hoodie with a pumpkin bucket,"south-park, kenny, halloween",photo_1787_0.jpg
1786,https://t.me/jotchuacontent/1786,photo,2026-09-05 06:38:37,Oowee,Stan-style Jotchua in a blue pom-pom beanie,"south-park, stan, snow",photo_1786_0.jpg
1785,https://t.me/jotchuacontent/1785,photo,2026-09-05 06:38:34,Oowee,Kyle-style Jotchua in a green ushanka and orange coat,"south-park, kyle, ushanka",photo_1785_0.jpg
1784,https://t.me/jotchuacontent/1784,photo,2026-09-05 06:38:33,Oowee,Jotchua holds a red rose in his mouth,"rose, love, flower",photo_1784_0.jpg
1783,https://t.me/jotchuacontent/1783,photo,2026-09-05 06:38:32,Oowee,Jotchua holds a purple flower under heart emojis,"flower, love, heart",photo_1783_0.jpg
1781,https://t.me/jotchuacontent/1781,photo,2026-09-05 06:38:30,Oowee,Jotchua wears a Burger King crown and sunglasses,"burger-king, crown, sunglasses",photo_1781_0.jpg
1780,https://t.me/jotchuacontent/1780,photo,2026-09-03 23:37:01,Titus,Jotchua waits in a yellow station coach booth,"subway, train, waiting",photo_1780_0.jpg
1779,https://t.me/jotchuacontent/1779,photo,2026-09-03 21:10:09,Kade,Jotchua in a Union Jack beanie and gold chain,"british, hoodie, chain",photo_1779_0.jpg
1778,https://t.me/jotchuacontent/1778,photo,2026-09-02 18:38:23,Kade,Peter Pan Jotchua with a feathered cap and pipe,"peter-pan, hat, costume",photo_1778_0.jpg
1776,https://t.me/jotchuacontent/1776,photo,2026-09-02 08:14:01,Kade,Jotchua sits among open boxes of hot pizza,"pizza, food, hungry",photo_1776_0.jpg
1775,https://t.me/jotchuacontent/1775,photo,2026-09-01 22:48:06,shanks,Superman Jotchua holds a tiny caped white pup,"superman, superhero, cape",photo_1775_0.jpg
1774,https://t.me/jotchuacontent/1774,photo,2026-09-01 22:48:06,shanks,Jotchua in juggalo paint holding a blue Faygo,"juggalo, soda, mask",photo_1774_0.jpg
1773,https://t.me/jotchuacontent/1773,photo,2026-09-01 22:48:05,shanks,Jotchua deals eleven thousand damage per second,"dps, rpg, staring",photo_1773_0.jpg
1772,https://t.me/jotchuacontent/1772,photo,2026-09-01 22:48:05,shanks,Jotchua stands in the rain with an umbrella and gun,"rain, umbrella, gun",photo_1772_0.jpg
1767,https://t.me/jotchuacontent/1767,photo,2026-09-01 14:08:59,Oowee,A Jotchua soap carving looks in a wooden mirror,"mirror, soap, staring",photo_1767_0.jpg
1766,https://t.me/jotchuacontent/1766,photo,2026-09-01 14:08:58,Oowee,Jotchua as Saul Goodman in a suit and tie,"saul-goodman, lawyer, suit",photo_1766_0.jpg
1765,https://t.me/jotchuacontent/1765,photo,2026-09-01 14:08:57,Oowee,Jotchua in a striped hoodie with one huge eye,"hoodie, staring, creepy",photo_1765_0.jpg
1764,https://t.me/jotchuacontent/1764,photo,2026-09-01 14:08:56,Oowee,Jotchua in a cap with an axe and a rifle,"cap, axe, rifle",photo_1764_0.jpg
1762,https://t.me/jotchuacontent/1762,photo,2026-08-31 22:26:44,Kade,Jotchua in blue pajamas holding milk with a frog and cat,"pajamas, sleepy, bedtime",photo_1762_0.jpg
1761,https://t.me/jotchuacontent/1761,photo,2026-08-31 22:26:43,Kade,Jotchua in a suit making an OK sign,"suit, business, approved",photo_1761_0.jpg
1760,https://t.me/jotchuacontent/1760,photo,2026-08-31 22:26:42,Kade,Jotchua in blue pajamas holding milk with a frog and cat,"pajamas, sleepy, bedtime",photo_1760_0.jpg
1759,https://t.me/jotchuacontent/1759,photo,2026-08-31 22:26:41,Kade,Jotchua in a suit making an OK sign,"suit, business, approved",photo_1759_0.jpg
1758,https://t.me/jotchuacontent/1758,photo,2026-08-31 22:07:29,shqwuiz,Super Saiyan Jotchua giving a thumbs-up,"super-saiyan, thumbs-up, anime",photo_1758_0.jpg
1757,https://t.me/jotchuacontent/1757,photo,2026-08-31 17:58:59,Kade,Woman in a bandana kissing Jotchua,"kissing, hugging, love",photo_1757_0.jpg
1756,https://t.me/jotchuacontent/1756,photo,2026-08-31 13:15:01,shqwuiz,Jotchua waving hello with cartoon gloves,"hello, waving, hola",photo_1756_0.jpg
1755,https://t.me/jotchuacontent/1755,photo,2026-08-31 13:15:01,shqwuiz,Jotchua wearing a white gaming headset,"headset, gaming, streaming",photo_1755_0.jpg
1754,https://t.me/jotchuacontent/1754,photo,2026-08-31 04:26:43,Kade,Jotchua under a moon with a rocket and stars,"rocket, space, stars",photo_1754_0.jpg
1753,https://t.me/jotchuacontent/1753,photo,2026-08-30 20:57:44,Kade,Jotchua holding two knives at a sushi bar,"knives, sushi, chef",photo_1753_0.jpg
1750,https://t.me/jotchuacontent/1750,photo,2026-08-30 13:45:43,Oowee,Jotchua wrapped in a fluffy blue blanket,"blanket, cozy, sleepy",photo_1750_0.jpg
1749,https://t.me/jotchuacontent/1749,photo,2026-08-30 13:42:05,Oowee,Jotchua floating in icy blue water,"swimming, floating, ice",photo_1749_0.jpg
1748,https://t.me/jotchuacontent/1748,photo,2026-08-30 06:36:27,Kade,Jotchua peeking over the Windows XP hill,"windows-xp, desktop, peeking",photo_1748_0.jpg
1747,https://t.me/jotchuacontent/1747,photo,2026-08-30 02:38:31,Oowee,Crowd of Jotchuas in suits with one red heart,"clones, crowd, heart",photo_1747_0.jpg
1746,https://t.me/jotchuacontent/1746,photo,2026-08-30 02:38:19,Kade,Jotchua working at an old beige computer,"computer, office, working",photo_1746_0.jpg
1745,https://t.me/jotchuacontent/1745,photo,2026-08-30 02:27:02,Kade,Jotchua sitting on a pile of empty cans,"cans, trash, energy-drink",photo_1745_0.jpg
1744,https://t.me/jotchuacontent/1744,photo,2026-08-30 02:23:38,Oowee,Wizard Jotchua writing with a quill by moonlight,"wizard, magic, writing",photo_1744_0.jpg
1743,https://t.me/jotchuacontent/1743,photo,2026-08-29 15:28:24,Oowee,Jotchua driving a purple Porsche at night,"driving, porsche, racing",photo_1743_0.jpg
1742,https://t.me/jotchuacontent/1742,photo,2026-08-29 15:23:26,Oowee,Jotchua in a white Porsche under a palm tree,"porsche, palm-tree, driving",photo_1742_0.jpg
1741,https://t.me/jotchuacontent/1741,photo,2026-08-29 15:20:16,Oowee,Three Jotchuas riding in a silver Aston Martin,"driving, car, night",photo_1741_0.jpg
1740,https://t.me/jotchuacontent/1740,photo,2026-08-28 17:46:14,Kade,Renaissance Jotchua with gold coins and wine,"rich, gold, wine",photo_1740_0.jpg
1739,https://t.me/jotchuacontent/1739,photo,2026-08-28 17:46:12,Kade,Jotchua making a heart saying I love you,"love, heart, cute",photo_1739_0.jpg
1738,https://t.me/jotchuacontent/1738,photo,2026-08-28 14:05:20,Oowee,Jotchua in a white Mercedes by the ocean,"mercedes, driving, beach",photo_1738_0.jpg
1737,https://t.me/jotchuacontent/1737,photo,2026-08-28 14:02:45,Oowee,Jotchua in a red Ferrari beside a private jet,"ferrari, jet, rich",photo_1737_0.jpg
1736,https://t.me/jotchuacontent/1736,photo,2026-08-26 13:05:02,t̴e̷a̸r̴s̷,"Jotchua with dreads, a Gucci band, and sunglasses","dreads, gucci, sunglasses",photo_1736_0.jpg
1735,https://t.me/jotchuacontent/1735,photo,2026-08-26 13:05:01,t̴e̷a̸r̴s̷,Jotchua with dreads in a denim jacket,"dreads, denim, rasta",photo_1735_0.jpg
1734,https://t.me/jotchuacontent/1734,photo,2026-08-26 08:22:31,Shravan Anand,Jotchua in a vest at a packed stadium,"stadium, sports, vest",photo_1734_0.jpg
1733,https://t.me/jotchuacontent/1733,photo,2026-08-26 08:00:58,Kade,Jotchua chilling at the beach with lemonade,"beach, vacation, chill",photo_1733_0.jpg
1732,https://t.me/jotchuacontent/1732,photo,2026-08-26 08:00:57,Kade,Jotchua riding a motorcycle with no time for drama,"motorcycle, riding, leather",photo_1732_0.jpg
1731,https://t.me/jotchuacontent/1731,photo,2026-08-26 07:54:55,Kade,"Jotchua on a motorcycle born to ride, forced to nap","motorcycle, riding, nap",photo_1731_0.jpg
1730,https://t.me/jotchuacontent/1730,photo,2026-08-26 07:32:07,Kade,Angel Jotchua with a halo and blue wings,"angel, halo, wings",photo_1730_0.jpg
